Pages,Frequency

/game_search_form.php,5

/search.html,20

/logout2.php,20

/admin_login.php,70

/publisher_search_form.php,15

/index.html,17

/player_search_form.php,11

/publisher_result.php,3

/admin_login.php?,17

/installations_search_form.php,7

/installations_result.php,1

/maintenance.php,60

/game.php,23

/success.php,14

/login2.php,1

/game_result.php,1

/player_result.php,3

/game_result.php,2

/imprint.html,1

/installations_result.php,1

/maintenance.html,1

/game_input_form.php,1

/player.php,12

/publisher.php,7

/uploads.php,5

/review.php,5

/installation.php,5

/genre.php,4

/is_in.php,3

/failure.php,1

/publisher_result.php,2

